# d24/dsp-unmapped.csv — defined cells with NO DSP address.
#
# GENERATED alongside dsp.csv by MW/D32/DSP/gen_dsp.py. The companion
# to it: dsp.csv says where a cell lives, this says why it lives
# nowhere. A family in neither file stops the generator.
#
# Class:  host-managed | mcu-only | label | surface-state |
#         hardware-control | control-plane | no-graph-node |
#         unbacked-meter | s1-2-no-behaviour
#
# no-graph-node is the list that costs work: a DSP function this
# product defines and the graph does not build.
#
_Cell,Class,Reason
Fdr005Grp001,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp002,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp003,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp004,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp005,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp006,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp007,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp008,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp009,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp010,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp011,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp012,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp013,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp014,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp015,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp016,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp017,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp018,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp019,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp020,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp021,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp022,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp023,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fdr005Grp024,mcu-only,MCU-only cell family (mcu-only-prefixes.txt); no DSP address expected
Fx001AuxOn001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxOn002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxOn003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxOn004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxOn005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxOn006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxOn007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxOn008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxSend001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxSend002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxSend003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxSend004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxSend005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxSend006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxSend007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001AuxSend008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx001Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx001DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx001DuckThr001,s1-2-no-behaviour,S1-2: FxDuckThr is a definition again at defs-v2026.09.08. The FX engine has DuckOn and DuckSens words and no threshold word — Q7
Fx001MuteAll001,control-plane,mute all FX returns; host fold onto the six return mutes
Fx001MuteGrp001,control-plane,mute-group membership; host fold onto the return mute
Fx001MuteGrp002,control-plane,mute-group membership; host fold onto the return mute
Fx001MuteGrp003,control-plane,mute-group membership; host fold onto the return mute
Fx001MuteGrp004,control-plane,mute-group membership; host fold onto the return mute
Fx001MuteGrp005,control-plane,mute-group membership; host fold onto the return mute
Fx001MuteGrp006,control-plane,mute-group membership; host fold onto the return mute
Fx001MuteGrp007,control-plane,mute-group membership; host fold onto the return mute
Fx001MuteGrp008,control-plane,mute-group membership; host fold onto the return mute
Fx001Name001,label,"text label; the host stores it, the DSP has no word for it"
Fx001PedAssign001,surface-state,footswitch assignment
Fx001PedAssign002,surface-state,footswitch assignment
Fx001PedAssign003,surface-state,footswitch assignment
Fx001PedAssign004,surface-state,footswitch assignment
Fx001PingPongStart001,no-graph-node,ping-pong start side; the FX engine has no such word
Fx001ReturnWetLock001,surface-state,UI lock on the return wet control
Fx001Tap001,control-plane,tap tempo; the host computes and writes Fx*DelayTime*
Fx002AuxOn001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxOn002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxOn003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxOn004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxOn005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxOn006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxOn007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxOn008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxSend001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxSend002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxSend003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxSend004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxSend005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxSend006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxSend007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002AuxSend008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx002Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx002DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx002DuckThr001,s1-2-no-behaviour,S1-2: FxDuckThr is a definition again at defs-v2026.09.08. The FX engine has DuckOn and DuckSens words and no threshold word — Q7
Fx002MuteGrp001,control-plane,mute-group membership; host fold onto the return mute
Fx002MuteGrp002,control-plane,mute-group membership; host fold onto the return mute
Fx002MuteGrp003,control-plane,mute-group membership; host fold onto the return mute
Fx002MuteGrp004,control-plane,mute-group membership; host fold onto the return mute
Fx002MuteGrp005,control-plane,mute-group membership; host fold onto the return mute
Fx002MuteGrp006,control-plane,mute-group membership; host fold onto the return mute
Fx002MuteGrp007,control-plane,mute-group membership; host fold onto the return mute
Fx002MuteGrp008,control-plane,mute-group membership; host fold onto the return mute
Fx002Name001,label,"text label; the host stores it, the DSP has no word for it"
Fx002PedAssign001,surface-state,footswitch assignment
Fx002PedAssign002,surface-state,footswitch assignment
Fx002PedAssign003,surface-state,footswitch assignment
Fx002PedAssign004,surface-state,footswitch assignment
Fx002PingPongStart001,no-graph-node,ping-pong start side; the FX engine has no such word
Fx002ReturnWetLock001,surface-state,UI lock on the return wet control
Fx002Tap001,control-plane,tap tempo; the host computes and writes Fx*DelayTime*
Fx003AuxOn001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxOn002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxOn003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxOn004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxOn005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxOn006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxOn007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxOn008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxSend001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxSend002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxSend003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxSend004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxSend005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxSend006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxSend007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003AuxSend008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx003Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx003DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx003DuckThr001,s1-2-no-behaviour,S1-2: FxDuckThr is a definition again at defs-v2026.09.08. The FX engine has DuckOn and DuckSens words and no threshold word — Q7
Fx003MuteGrp001,control-plane,mute-group membership; host fold onto the return mute
Fx003MuteGrp002,control-plane,mute-group membership; host fold onto the return mute
Fx003MuteGrp003,control-plane,mute-group membership; host fold onto the return mute
Fx003MuteGrp004,control-plane,mute-group membership; host fold onto the return mute
Fx003MuteGrp005,control-plane,mute-group membership; host fold onto the return mute
Fx003MuteGrp006,control-plane,mute-group membership; host fold onto the return mute
Fx003MuteGrp007,control-plane,mute-group membership; host fold onto the return mute
Fx003MuteGrp008,control-plane,mute-group membership; host fold onto the return mute
Fx003Name001,label,"text label; the host stores it, the DSP has no word for it"
Fx003PedAssign001,surface-state,footswitch assignment
Fx003PedAssign002,surface-state,footswitch assignment
Fx003PedAssign003,surface-state,footswitch assignment
Fx003PedAssign004,surface-state,footswitch assignment
Fx003PingPongStart001,no-graph-node,ping-pong start side; the FX engine has no such word
Fx003ReturnWetLock001,surface-state,UI lock on the return wet control
Fx003Tap001,control-plane,tap tempo; the host computes and writes Fx*DelayTime*
Fx004AuxOn001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxOn002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxOn003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxOn004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxOn005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxOn006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxOn007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxOn008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxSend001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxSend002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxSend003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxSend004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxSend005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxSend006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxSend007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004AuxSend008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx004Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx004DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx004DuckThr001,s1-2-no-behaviour,S1-2: FxDuckThr is a definition again at defs-v2026.09.08. The FX engine has DuckOn and DuckSens words and no threshold word — Q7
Fx004MuteGrp001,control-plane,mute-group membership; host fold onto the return mute
Fx004MuteGrp002,control-plane,mute-group membership; host fold onto the return mute
Fx004MuteGrp003,control-plane,mute-group membership; host fold onto the return mute
Fx004MuteGrp004,control-plane,mute-group membership; host fold onto the return mute
Fx004MuteGrp005,control-plane,mute-group membership; host fold onto the return mute
Fx004MuteGrp006,control-plane,mute-group membership; host fold onto the return mute
Fx004MuteGrp007,control-plane,mute-group membership; host fold onto the return mute
Fx004MuteGrp008,control-plane,mute-group membership; host fold onto the return mute
Fx004Name001,label,"text label; the host stores it, the DSP has no word for it"
Fx004PedAssign001,surface-state,footswitch assignment
Fx004PedAssign002,surface-state,footswitch assignment
Fx004PedAssign003,surface-state,footswitch assignment
Fx004PedAssign004,surface-state,footswitch assignment
Fx004PingPongStart001,no-graph-node,ping-pong start side; the FX engine has no such word
Fx004ReturnWetLock001,surface-state,UI lock on the return wet control
Fx004Tap001,control-plane,tap tempo; the host computes and writes Fx*DelayTime*
Fx005AuxOn001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxOn002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxOn003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxOn004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxOn005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxOn006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxOn007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxOn008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxSend001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxSend002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxSend003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxSend004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxSend005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxSend006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxSend007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005AuxSend008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx005Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx005DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx005DuckThr001,s1-2-no-behaviour,S1-2: FxDuckThr is a definition again at defs-v2026.09.08. The FX engine has DuckOn and DuckSens words and no threshold word — Q7
Fx005MuteGrp001,control-plane,mute-group membership; host fold onto the return mute
Fx005MuteGrp002,control-plane,mute-group membership; host fold onto the return mute
Fx005MuteGrp003,control-plane,mute-group membership; host fold onto the return mute
Fx005MuteGrp004,control-plane,mute-group membership; host fold onto the return mute
Fx005MuteGrp005,control-plane,mute-group membership; host fold onto the return mute
Fx005MuteGrp006,control-plane,mute-group membership; host fold onto the return mute
Fx005MuteGrp007,control-plane,mute-group membership; host fold onto the return mute
Fx005MuteGrp008,control-plane,mute-group membership; host fold onto the return mute
Fx005Name001,label,"text label; the host stores it, the DSP has no word for it"
Fx005PedAssign001,surface-state,footswitch assignment
Fx005PedAssign002,surface-state,footswitch assignment
Fx005PedAssign003,surface-state,footswitch assignment
Fx005PedAssign004,surface-state,footswitch assignment
Fx005PingPongStart001,no-graph-node,ping-pong start side; the FX engine has no such word
Fx005ReturnWetLock001,surface-state,UI lock on the return wet control
Fx005Tap001,control-plane,tap tempo; the host computes and writes Fx*DelayTime*
Fx006AuxOn001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxOn002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxOn003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxOn004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxOn005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxOn006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxOn007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxOn008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxSend001,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxSend002,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxSend003,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxSend004,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxSend005,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxSend006,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxSend007,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006AuxSend008,no-graph-node,FX return to aux sends; the return strip C2_FX_FDR_* has no ROUTING node
Fx006Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx006DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Fx006DuckThr001,s1-2-no-behaviour,S1-2: FxDuckThr is a definition again at defs-v2026.09.08. The FX engine has DuckOn and DuckSens words and no threshold word — Q7
Fx006MuteGrp001,control-plane,mute-group membership; host fold onto the return mute
Fx006MuteGrp002,control-plane,mute-group membership; host fold onto the return mute
Fx006MuteGrp003,control-plane,mute-group membership; host fold onto the return mute
Fx006MuteGrp004,control-plane,mute-group membership; host fold onto the return mute
Fx006MuteGrp005,control-plane,mute-group membership; host fold onto the return mute
Fx006MuteGrp006,control-plane,mute-group membership; host fold onto the return mute
Fx006MuteGrp007,control-plane,mute-group membership; host fold onto the return mute
Fx006MuteGrp008,control-plane,mute-group membership; host fold onto the return mute
Fx006Name001,label,"text label; the host stores it, the DSP has no word for it"
Fx006PedAssign001,surface-state,footswitch assignment
Fx006PedAssign002,surface-state,footswitch assignment
Fx006PedAssign003,surface-state,footswitch assignment
Fx006PedAssign004,surface-state,footswitch assignment
Fx006PingPongStart001,no-graph-node,ping-pong start side; the FX engine has no such word
Fx006ReturnWetLock001,surface-state,UI lock on the return wet control
Fx006Tap001,control-plane,tap tempo; the host computes and writes Fx*DelayTime*
Grp001Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Grp001DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Grp001Name001,label,"text label; the host stores it, the DSP has no word for it"
Grp002Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Grp002DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Grp002Name001,label,"text label; the host stores it, the DSP has no word for it"
Grp003Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Grp003DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Grp003Name001,label,"text label; the host stores it, the DSP has no word for it"
Grp004Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Grp004DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Grp004Name001,label,"text label; the host stores it, the DSP has no word for it"
Main001CueSel001,control-plane,cue select; see Q5
Main001Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Main001DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Main001Name001,label,"text label; the host stores it, the DSP has no word for it"
Main001Out3Mode001,no-graph-node,D24 centre-output mode (def key main.ctr); C2_MAIN_XOVER feeds all four outputs unconditionally and no word selects output 3's source — open question Q2
MainCtr001Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
MainCtr001DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
MainCtr001Delay001,no-graph-node,"post-crossover output chain MainCtr has EQ + COMP + LIM and no FADER_PAN or DELAY node, so the strip's own level, mute and delay reach no word — open question Q1"
MainCtr001EqHpf002,no-graph-node,HPF on EQ bands 2-4; the generator gives a non-Main strip one HPF (band 1) and the masters give the output strips four — open question Q8
MainCtr001EqHpf003,no-graph-node,HPF on EQ bands 2-4; the generator gives a non-Main strip one HPF (band 1) and the masters give the output strips four — open question Q8
MainCtr001EqHpf004,no-graph-node,HPF on EQ bands 2-4; the generator gives a non-Main strip one HPF (band 1) and the masters give the output strips four — open question Q8
MainCtr001Level001,no-graph-node,"post-crossover output chain MainCtr has EQ + COMP + LIM and no FADER_PAN or DELAY node, so the strip's own level, mute and delay reach no word — open question Q1"
MainCtr001LimiterRng001,no-graph-node,"limiter range; the LIMITER node carries On, Thr, Att and Rel and no range word"
MainCtr001Mute001,no-graph-node,"post-crossover output chain MainCtr has EQ + COMP + LIM and no FADER_PAN or DELAY node, so the strip's own level, mute and delay reach no word — open question Q1"
MainCtr001Name001,label,"text label; the host stores it, the DSP has no word for it"
MainCtr001PeqGain001,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainCtr001PeqGain002,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainCtr001PeqGain003,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainCtr001PeqGain004,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainCtr001PeqGain005,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainCtr001PeqGain006,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainCtr001PeqGain007,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainCtr001PeqGain008,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainCtr001PeqGain009,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainCtr001PeqGain010,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainCtr001PeqGain011,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainCtr001PeqGain012,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainL001Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
MainL001DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
MainL001Delay001,no-graph-node,"post-crossover output chain MainL has EQ + COMP + LIM and no FADER_PAN or DELAY node, so the strip's own level, mute and delay reach no word — open question Q1"
MainL001EqHpf002,no-graph-node,HPF on EQ bands 2-4; the generator gives a non-Main strip one HPF (band 1) and the masters give the output strips four — open question Q8
MainL001EqHpf003,no-graph-node,HPF on EQ bands 2-4; the generator gives a non-Main strip one HPF (band 1) and the masters give the output strips four — open question Q8
MainL001EqHpf004,no-graph-node,HPF on EQ bands 2-4; the generator gives a non-Main strip one HPF (band 1) and the masters give the output strips four — open question Q8
MainL001Level001,no-graph-node,"post-crossover output chain MainL has EQ + COMP + LIM and no FADER_PAN or DELAY node, so the strip's own level, mute and delay reach no word — open question Q1"
MainL001LimiterRng001,no-graph-node,"limiter range; the LIMITER node carries On, Thr, Att and Rel and no range word"
MainL001Mute001,no-graph-node,"post-crossover output chain MainL has EQ + COMP + LIM and no FADER_PAN or DELAY node, so the strip's own level, mute and delay reach no word — open question Q1"
MainL001Name001,label,"text label; the host stores it, the DSP has no word for it"
MainL001PeqGain001,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainL001PeqGain002,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainL001PeqGain003,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainL001PeqGain004,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainL001PeqGain005,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainL001PeqGain006,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
MainL001PeqGain007,s1-2-no-behaviour,S1-2: PeqGain is a definition again at defs-v2026.09.08 (def key main.geq); no node carries a parametric gain bank — Q7
