board,item,test,verdict,measured,limit,evidence,stamp
Digital,Ethernet (RJ45),NW1,PASS,"Link detected: yes, Speed: 1000Mb/s, Duplex: Full, carrier=1","link up, 1000Mb/s, Full",netlink error: Operation not permitted Settings for eth0: Supported ports: [ TP MII ] Supported link modes: 10baseT/Half 10baseT/Full 100baseT/Half 100baseT/Full 1000baseT/Half 1000baseT/Full Supported pause frame use: Symmetric Receive-only Supports auto-negotiation: Yes Supported FEC modes: Not reported Advertised link modes: 10baseT/Half 10baseT/Full 100baseT/Half 100baseT/Full 1000baseT/Hal...,2026-09-23T09:50:38Z
Digital,Ethernet (RJ45),NW3,NO DATA,"bench host 192.168.1.211: worst 100.0% loss over 3 passes [100.0, 100.0, 100.0], max RTT nan ms; gateway 192.168.1.254: worst 0.0% loss over 3 passes [0.0, 0.0, 0.0], max RTT 7.020 ms","0% loss, max RTT < 5 ms","--- bench host 192.168.1.211, pass 1/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 0 received, 100% packet loss, time 40635ms --- bench host 192.168.1.211, pass 2/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 0 received, 100% packet loss, time 40628ms --- bench host 192.168.1.211, pass 3/3 --- --- 192.168.1.211 ping statistics --- 200 packets transm...",2026-09-23T09:55:12Z
Digital,Ethernet (RJ45),NW4,NO DATA,"unit rx 9164 Mbit/s, unit tx 6005 Mbit/s -- but the driving host's lo negotiates 0 Mb/s, so this is the path, not the unit",>= 900 Mbit/s each way,"driving host 192.168.1.211: iface lo, link 0 Mb/s --- unit receiving (host -> unit) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] Interval Transfer Bitrate Retr [ 5] 0.00-10.00 sec 10.7 GBytes 9164 Mbits/sec 0 sender [ 5] 0.00-10.00 sec 10.7 GBytes 9164 Mbits/sec receiver iperf Done. --- unit sending (unit -> host, -R) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] In...",2026-09-23T09:55:35Z
Digital,Ethernet (RJ45),NW2,PASS,"deltas over NW3+NW4: {'rx_errors': 0, 'rx_dropped': 0, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 0, 'tx_carrier': 0, 'tx_collsns': 0}; idle control (30 s): {'rx_errors': 0, 'rx_dropped': 0, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 0, 'tx_carrier': 0, 'tx_collsns': 0}",all zero for the run,"--- before NW3 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1500 qdisc mq state UP mode DEFAULT group default qlen 1000 link/ether d8:3a:dd:82:d6:45 brd ff:ff:ff:ff:ff:ff RX: bytes packets errors dropped missed mcast 887749675 813167 0 231 0 113197 TX: bytes packets errors dropped carrier collsns 279331968 481736 0 0 0 0 --- after NW4 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 150...",2026-09-23T09:56:05Z
HDMI FPC (rev B),Display link HDMI0 → TFT,HD0-1,PASS,"HDMI-A-1 connected, RTK 10811, native 1920x1080, active=True",connected + EDID mfr/product + native mode active,status=connected --- edid-decode --- edid-decode (hex): 00 ff ff ff ff ff ff 00 4a 8b 3b 2a 01 01 01 01 17 15 01 03 80 3c 22 78 ea 1e c5 ae 4f 34 b1 26 0e 50 54 a5 4b 00 81 80 a9 40 d1 c0 71 4f 01 01 01 01 01 01 01 01 02 3a 80 18 71 38 2d 40 58 2c 45 00 55 50 21 00 00 1e 00 00 00 ff 00 4a 32 35 37 4d 39 36 42 30 30 46 4c 0a 00 00 00 fc 00 52 54 4b 20 46 48 44 0a 20 20 20 20 20 00 00 00 fd 00 38...,2026-09-23T10:28:29Z
Assemblies,TFT display,HD0-1,PASS,"HDMI-A-1 connected, RTK 10811, native 1920x1080, active=True",connected + EDID mfr/product + native mode active,status=connected --- edid-decode --- edid-decode (hex): 00 ff ff ff ff ff ff 00 4a 8b 3b 2a 01 01 01 01 17 15 01 03 80 3c 22 78 ea 1e c5 ae 4f 34 b1 26 0e 50 54 a5 4b 00 81 80 a9 40 d1 c0 71 4f 01 01 01 01 01 01 01 01 02 3a 80 18 71 38 2d 40 58 2c 45 00 55 50 21 00 00 1e 00 00 00 ff 00 4a 32 35 37 4d 39 36 42 30 30 46 4c 0a 00 00 00 fc 00 52 54 4b 20 46 48 44 0a 20 20 20 20 20 00 00 00 fd 00 38...,2026-09-23T10:28:29Z
HDMI FPC (rev B),Display link HDMI0 → TFT,HD0-1,PASS,"HDMI-A-1 connected, RTK 10811, native 1920x1080, active=True",connected + EDID mfr/product + native mode active,status=connected --- edid-decode --- edid-decode (hex): 00 ff ff ff ff ff ff 00 4a 8b 3b 2a 01 01 01 01 17 15 01 03 80 3c 22 78 ea 1e c5 ae 4f 34 b1 26 0e 50 54 a5 4b 00 81 80 a9 40 d1 c0 71 4f 01 01 01 01 01 01 01 01 02 3a 80 18 71 38 2d 40 58 2c 45 00 55 50 21 00 00 1e 00 00 00 ff 00 4a 32 35 37 4d 39 36 42 30 30 46 4c 0a 00 00 00 fc 00 52 54 4b 20 46 48 44 0a 20 20 20 20 20 00 00 00 fd 00 38...,2026-09-23T10:30:21Z
Assemblies,TFT display,HD0-1,PASS,"HDMI-A-1 connected, RTK 10811, native 1920x1080, active=True",connected + EDID mfr/product + native mode active,status=connected --- edid-decode --- edid-decode (hex): 00 ff ff ff ff ff ff 00 4a 8b 3b 2a 01 01 01 01 17 15 01 03 80 3c 22 78 ea 1e c5 ae 4f 34 b1 26 0e 50 54 a5 4b 00 81 80 a9 40 d1 c0 71 4f 01 01 01 01 01 01 01 01 02 3a 80 18 71 38 2d 40 58 2c 45 00 55 50 21 00 00 1e 00 00 00 ff 00 4a 32 35 37 4d 39 36 42 30 30 46 4c 0a 00 00 00 fc 00 52 54 4b 20 46 48 44 0a 20 20 20 20 20 00 00 00 fd 00 38...,2026-09-23T10:30:21Z
HDMI FPC (rev B),Display link HDMI0 → TFT,HD0-1,PASS,"HDMI-A-1 connected, RTK 10811, native 1920x1080, active=True",connected + EDID mfr/product + native mode active,status=connected --- edid-decode --- edid-decode (hex): 00 ff ff ff ff ff ff 00 4a 8b 3b 2a 01 01 01 01 17 15 01 03 80 3c 22 78 ea 1e c5 ae 4f 34 b1 26 0e 50 54 a5 4b 00 81 80 a9 40 d1 c0 71 4f 01 01 01 01 01 01 01 01 02 3a 80 18 71 38 2d 40 58 2c 45 00 55 50 21 00 00 1e 00 00 00 ff 00 4a 32 35 37 4d 39 36 42 30 30 46 4c 0a 00 00 00 fc 00 52 54 4b 20 46 48 44 0a 20 20 20 20 20 00 00 00 fd 00 38...,2026-09-23T10:34:13Z
Assemblies,TFT display,HD0-1,PASS,"HDMI-A-1 connected, RTK 10811, native 1920x1080, active=True",connected + EDID mfr/product + native mode active,status=connected --- edid-decode --- edid-decode (hex): 00 ff ff ff ff ff ff 00 4a 8b 3b 2a 01 01 01 01 17 15 01 03 80 3c 22 78 ea 1e c5 ae 4f 34 b1 26 0e 50 54 a5 4b 00 81 80 a9 40 d1 c0 71 4f 01 01 01 01 01 01 01 01 02 3a 80 18 71 38 2d 40 58 2c 45 00 55 50 21 00 00 1e 00 00 00 ff 00 4a 32 35 37 4d 39 36 42 30 30 46 4c 0a 00 00 00 fc 00 52 54 4b 20 46 48 44 0a 20 20 20 20 20 00 00 00 fd 00 38...,2026-09-23T10:34:13Z
Digital,Ethernet (RJ45),NW1,FAIL,"Link detected: yes, Speed: 100Mb/s, Duplex: Full, carrier=1","link up, 1000Mb/s, Full",netlink error: Operation not permitted Settings for eth0: Supported ports: [ TP MII ] Supported link modes: 10baseT/Half 10baseT/Full 100baseT/Half 100baseT/Full 1000baseT/Half 1000baseT/Full Supported pause frame use: Symmetric Receive-only Supports auto-negotiation: Yes Supported FEC modes: Not reported Advertised link modes: 100baseT/Full Advertised pause frame use: No Advertised auto-negoti...,2026-09-23T11:16:16Z
Digital,Ethernet (RJ45),NW3,FAIL,"bench host 192.168.1.211: worst 100.0% loss over 3 passes [100.0, 100.0, 100.0], max RTT nan ms; gateway 192.168.1.254: worst 6.0% loss over 3 passes [5.5, 4.5, 6.0], max RTT 11.215 ms","0% loss, max RTT < 5 ms","--- bench host 192.168.1.211, pass 1/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 0 received, +5 errors, 100% packet loss, time 42594ms pipe 6 --- bench host 192.168.1.211, pass 2/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 0 received, 100% packet loss, time 40691ms --- bench host 192.168.1.211, pass 3/3 --- --- 192.168.1.211 ping statistics --- ...",2026-09-23T11:20:51Z
Digital,Ethernet (RJ45),NW4,NO DATA,"unit rx 4785 Mbit/s, unit tx 4814 Mbit/s -- but the driving host's lo negotiates 0 Mb/s, so this is the path, not the unit",>= 900 Mbit/s each way,"driving host 192.168.1.211: iface lo, link 0 Mb/s --- unit receiving (host -> unit) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] Interval Transfer Bitrate Retr [ 5] 0.00-10.00 sec 5.57 GBytes 4786 Mbits/sec 0 sender [ 5] 0.00-10.00 sec 5.57 GBytes 4785 Mbits/sec receiver iperf Done. --- unit sending (unit -> host, -R) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] In...",2026-09-23T11:21:15Z
Digital,Ethernet (RJ45),NW2,FAIL,"deltas over NW3+NW4: {'rx_errors': 0, 'rx_dropped': 0, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 3, 'tx_carrier': 0, 'tx_collsns': 0}; idle control (30 s): {'rx_errors': 0, 'rx_dropped': 0, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 0, 'tx_carrier': 0, 'tx_collsns': 0}",all zero for the run,"--- before NW3 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1500 qdisc mq state UP mode DEFAULT group default qlen 1000 link/ether d8:3a:dd:82:d6:45 brd ff:ff:ff:ff:ff:ff RX: bytes packets errors dropped missed mcast 1473937099 1223801 0 233 0 114955 TX: bytes packets errors dropped carrier collsns 349961455 719896 0 0 0 0 --- after NW4 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1...",2026-09-23T11:21:45Z
Left Switch PCBA,Panel MEMS mic (talkback),MM1,NO DATA,1 MEMS lanes all STATIC with AN_EN 26: op -- pd | lo,lane alive; idle floor within the declared window,"AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output XIN_MEMS 46 736 7 0 16 1 -186.64 -186.64 ffffffff ffffffff ffffffff STATIC PREREQUISITE: the analog rails. AN_EN (GPIO26) is low and a dispatched session may not raise it (bench note 19 / S49-15: ""AN_EN is never written by a dispatched session""). With the front ends unpowered a STATIC lane is the test state, not a converter fault, so this is...",2026-09-23T11:23:12Z
Digital,Ethernet (RJ45),NW1,PASS,"Link detected: yes, Speed: 1000Mb/s, Duplex: Full, carrier=1","link up, 1000Mb/s, Full",netlink error: Operation not permitted Settings for eth0: Supported ports: [ TP MII ] Supported link modes: 10baseT/Half 10baseT/Full 100baseT/Half 100baseT/Full 1000baseT/Half 1000baseT/Full Supported pause frame use: Symmetric Receive-only Supports auto-negotiation: Yes Supported FEC modes: Not reported Advertised link modes: 10baseT/Half 10baseT/Full 100baseT/Half 100baseT/Full 1000baseT/Hal...,2026-09-23T11:25:12Z
Digital,Ethernet (RJ45),NW3,FAIL,"bench host 192.168.1.211: worst 100.0% loss over 3 passes [100.0, 100.0, 100.0], max RTT nan ms; gateway 192.168.1.254: worst 5.0% loss over 3 passes [2.5, 2.0, 5.0], max RTT 4.732 ms","0% loss, max RTT < 5 ms","--- bench host 192.168.1.211, pass 1/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 0 received, 100% packet loss, time 40712ms --- bench host 192.168.1.211, pass 2/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 0 received, 100% packet loss, time 40689ms --- bench host 192.168.1.211, pass 3/3 --- --- 192.168.1.211 ping statistics --- 200 packets transm...",2026-09-23T11:29:45Z
Digital,Ethernet (RJ45),NW4,NO DATA,"unit rx 5171 Mbit/s, unit tx 5056 Mbit/s -- but the driving host's lo negotiates 0 Mb/s, so this is the path, not the unit",>= 900 Mbit/s each way,"driving host 192.168.1.211: iface lo, link 0 Mb/s --- unit receiving (host -> unit) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] Interval Transfer Bitrate Retr [ 5] 0.00-10.00 sec 6.02 GBytes 5171 Mbits/sec 0 sender [ 5] 0.00-10.00 sec 6.02 GBytes 5171 Mbits/sec receiver iperf Done. --- unit sending (unit -> host, -R) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] In...",2026-09-23T11:30:09Z
Digital,Ethernet (RJ45),NW2,PASS,"deltas over NW3+NW4: {'rx_errors': 0, 'rx_dropped': 0, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 0, 'tx_carrier': 0, 'tx_collsns': 0}; idle control (30 s): {'rx_errors': 0, 'rx_dropped': 0, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 0, 'tx_carrier': 0, 'tx_collsns': 0}",all zero for the run,"--- before NW3 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1500 qdisc mq state UP mode DEFAULT group default qlen 1000 link/ether d8:3a:dd:82:d6:45 brd ff:ff:ff:ff:ff:ff RX: bytes packets errors dropped missed mcast 1474135941 1225082 0 233 0 115204 TX: bytes packets errors dropped carrier collsns 350161361 721444 0 3 0 0 --- after NW4 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1...",2026-09-23T11:30:39Z
Assemblies,CM4 compute module,AS-CM4,PASS,throttled=0x0 temp=52.1 C core=0.9200V matrix-app=active,"throttled 0x0, temp < 70 C, core volts in window, app active","12:36:04 up 23:27, 1 user, load average: 0.55, 0.75, 0.75 throttled=0x0 temp=52.1'C volt=0.9200V Raspberry Pi Compute Module 4 Rev 1.1 active",2026-09-23T11:36:04Z
Digital,Ethernet (RJ45),NW1,PASS,"Link detected: yes, Speed: 1000Mb/s, Duplex: Full, carrier=1","link up, 1000Mb/s, Full",netlink error: Operation not permitted Settings for eth0: Supported ports: [ TP MII ] Supported link modes: 10baseT/Half 10baseT/Full 100baseT/Half 100baseT/Full 1000baseT/Half 1000baseT/Full Supported pause frame use: Symmetric Receive-only Supports auto-negotiation: Yes Supported FEC modes: Not reported Advertised link modes: 10baseT/Half 10baseT/Full 100baseT/Half 100baseT/Full 1000baseT/Hal...,2026-09-23T11:36:31Z
Digital,Ethernet (RJ45),NW3,FAIL,"bench host 192.168.1.211: worst 100.0% loss over 3 passes [100.0, 100.0, 100.0], max RTT nan ms; gateway 192.168.1.254: worst 3.5% loss over 3 passes [2.0, 1.5, 3.5], max RTT 6.610 ms","0% loss, max RTT < 5 ms","--- bench host 192.168.1.211, pass 1/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 0 received, 100% packet loss, time 40677ms --- bench host 192.168.1.211, pass 2/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 0 received, 100% packet loss, time 40723ms --- bench host 192.168.1.211, pass 3/3 --- --- 192.168.1.211 ping statistics --- 200 packets transm...",2026-09-23T11:41:04Z
Digital,Ethernet (RJ45),NW4,NO DATA,"unit rx 5009 Mbit/s, unit tx 5079 Mbit/s -- but the driving host's lo negotiates 0 Mb/s, so this is the path, not the unit",>= 900 Mbit/s each way,"driving host 192.168.1.211: iface lo, link 0 Mb/s --- unit receiving (host -> unit) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] Interval Transfer Bitrate Retr [ 5] 0.00-10.00 sec 5.83 GBytes 5010 Mbits/sec 0 sender [ 5] 0.00-10.00 sec 5.83 GBytes 5009 Mbits/sec receiver iperf Done. --- unit sending (unit -> host, -R) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] In...",2026-09-23T11:41:28Z
Digital,Ethernet (RJ45),NW2,PASS,"deltas over NW3+NW4: {'rx_errors': 0, 'rx_dropped': 0, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 0, 'tx_carrier': 0, 'tx_collsns': 0}; idle control (30 s): {'rx_errors': 0, 'rx_dropped': 0, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 0, 'tx_carrier': 0, 'tx_collsns': 0}",all zero for the run,"--- before NW3 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1500 qdisc mq state UP mode DEFAULT group default qlen 1000 link/ether d8:3a:dd:82:d6:45 brd ff:ff:ff:ff:ff:ff RX: bytes packets errors dropped missed mcast 1595956470 1307368 0 237 0 115590 TX: bytes packets errors dropped carrier collsns 353118211 763619 0 3 0 0 --- after NW4 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1...",2026-09-23T11:41:58Z
Digital,Ethernet (RJ45),NW1,PASS,"Link detected: yes, Speed: 1000Mb/s, Duplex: Full, carrier=1","link up, 1000Mb/s, Full",netlink error: Operation not permitted Settings for eth0: Supported ports: [ TP MII ] Supported link modes: 10baseT/Half 10baseT/Full 100baseT/Half 100baseT/Full 1000baseT/Half 1000baseT/Full Supported pause frame use: Symmetric Receive-only Supports auto-negotiation: Yes Supported FEC modes: Not reported Advertised link modes: 10baseT/Half 10baseT/Full 100baseT/Half 100baseT/Full 1000baseT/Hal...,2026-09-23T11:48:00Z
Digital,Ethernet (RJ45),NW3,FAIL,"bench host 192.168.1.211: worst 100.0% loss over 3 passes [100.0, 100.0, 100.0], max RTT nan ms; gateway 192.168.1.254: worst 1.5% loss over 3 passes [1.5, 0.5, 1.5], max RTT 6.533 ms","0% loss, max RTT < 5 ms","--- bench host 192.168.1.211, pass 1/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 0 received, 100% packet loss, time 40674ms --- bench host 192.168.1.211, pass 2/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 0 received, 100% packet loss, time 40694ms --- bench host 192.168.1.211, pass 3/3 --- --- 192.168.1.211 ping statistics --- 200 packets transm...",2026-09-23T11:52:33Z
Digital,Ethernet (RJ45),NW4,NO DATA,"unit rx 4594 Mbit/s, unit tx 5072 Mbit/s -- but the driving host's lo negotiates 0 Mb/s, so this is the path, not the unit",>= 900 Mbit/s each way,"driving host 192.168.1.211: iface lo, link 0 Mb/s --- unit receiving (host -> unit) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] Interval Transfer Bitrate Retr [ 5] 0.00-10.01 sec 5.36 GBytes 4595 Mbits/sec 0 sender [ 5] 0.00-10.01 sec 5.36 GBytes 4594 Mbits/sec receiver iperf Done. --- unit sending (unit -> host, -R) --- - - - - - - - - - - - - - - - - - - - - - - - - - [ ID] In...",2026-09-23T11:52:57Z
Digital,Ethernet (RJ45),NW2,FAIL,"deltas over NW3+NW4: {'rx_errors': 0, 'rx_dropped': 2, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 0, 'tx_carrier': 0, 'tx_collsns': 0}; idle control (30 s): {'rx_errors': 0, 'rx_dropped': 1, 'rx_missed': 0, 'tx_errors': 0, 'tx_dropped': 0, 'tx_carrier': 0, 'tx_collsns': 0}",all zero for the run,"--- before NW3 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1500 qdisc mq state UP mode DEFAULT group default qlen 1000 link/ether d8:3a:dd:82:d6:45 brd ff:ff:ff:ff:ff:ff RX: bytes packets errors dropped missed mcast 1718062710 1390573 0 239 0 116830 TX: bytes packets errors dropped carrier collsns 356130910 805943 0 3 0 0 --- after NW4 --- 2: eth0: <BROADCAST,MULTICAST,UP,LOWER_UP> mtu 1...",2026-09-23T11:53:27Z
Left Switch PCBA,Panel MEMS mic (talkback),MM1,NO DATA,1 MEMS lanes all STATIC with AN_EN 26: op -- pd | lo,lane alive; idle floor within the declared window,"AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output XIN_MEMS 46 736 7 0 16 1 -186.64 -186.64 ffffffff ffffffff ffffffff STATIC PREREQUISITE: the analog rails. AN_EN (GPIO26) is low and a dispatched session may not raise it (bench note 19 / S49-15: ""AN_EN is never written by a dispatched session""). With the front ends unpowered a STATIC lane is the test state, not a converter fault, so this is...",2026-09-23T12:29:57Z
Left Switch PCBA,Speaker,SP1,NO DATA,no TEST_OSC -> SPKR route in the topology,1 kHz tone on the MEMS lane >= 20 dB above its idle floor,"DEF ITEM, not a fixture (the spec's own disposition for this case). No node or cell named for the speaker exists: zero hits for spkr/speaker in defs/products/d24/dsp.csv and MW/D24/MX/_matrix.csv. SPKR0/SPKR1 are connector pins only (d24-hw-inventory.csv:1075 Left Switch J2; :278 Analog J59). The path is DSPB O2 = PLL8_1 = CDC_I -> AK4619 codec DAC -> TS482 amp on the Digital board -> panels (h...",2026-09-23T12:31:23Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS3 (fw.csv Dsp3),DC1-CS3,NO DATA,CS3 is not a chip select on DSP4: 8: ip    pu | hi // GPIO8 = input,n/a -- assert-one-read-one does not apply,"SPEC CORRECTION. CS3/CS4 are wired to DSPA/DSPB SPI_RDY and are INPUTS (MW/D24/HW/hardware-map.md:193-195; dsp4_boot.py RDY_GPIO = {1: 8, 2: 12}). Level read at the CM4 end: 8: ip pu | hi // GPIO8 = input. A 10K pulldown on each part rests the line ASSERTED, so the level does not prove a part is alive either.",2026-09-23T12:32:58Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS3 (fw.csv Dsp3),DC2-CS3,NO DATA,CS3 is not a chip select on DSP4: 8: ip    pu | hi // GPIO8 = input,n/a -- assert-one-read-one does not apply,"SPEC CORRECTION. CS3/CS4 are wired to DSPA/DSPB SPI_RDY and are INPUTS (MW/D24/HW/hardware-map.md:193-195; dsp4_boot.py RDY_GPIO = {1: 8, 2: 12}). Level read at the CM4 end: 8: ip pu | hi // GPIO8 = input. A 10K pulldown on each part rests the line ASSERTED, so the level does not prove a part is alive either.",2026-09-23T12:32:58Z
Left Switch PCBA,Panel MEMS mic (talkback),MM1,NO DATA,1 MEMS lanes all STATIC with AN_EN 26: op -- pd | lo,lane alive; idle floor within the declared window,"AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output XIN_MEMS 46 736 7 0 16 1 -186.64 -186.64 ffffffff ffffffff ffffffff STATIC PREREQUISITE: the analog rails. AN_EN (GPIO26) is low and a dispatched session may not raise it (bench note 19 / S49-15: ""AN_EN is never written by a dispatched session""). With the front ends unpowered a STATIC lane is the test state, not a converter fault, so this is...",2026-09-23T12:39:30Z
DSP PCBA (H1S1 MCU wiring),H1S1 MCU (STM32U575) link,ML1,PASS,"Sys001Test001 (5414) x3 = ['0x00', '0x00', '0x00'], [113.3, 111.7, 111.4] ms",3 identical answers within the bus timeout,"{""mode"": ""cell"", ""cell"": 5414, ""reps"": 3, ""reads"": [{""value"": 0, ""ms"": 113.3, ""raw"": ""+\n+\nimjn\n.\n""}, {""value"": 0, ""ms"": 111.7, ""raw"": ""+\n+\nimjn\n""}, {""value"": 0, ""ms"": 111.4, ""raw"": ""+\n+\nimjn\n""}], ""answered"": 3, ""identical"": true}",2026-09-23T15:32:44Z
Assemblies,S MCU H1S1 (STM32U575),ML1,PASS,"Sys001Test001 (5414) x3 = ['0x00', '0x00', '0x00'], [113.3, 111.7, 111.4] ms",3 identical answers within the bus timeout,"{""mode"": ""cell"", ""cell"": 5414, ""reps"": 3, ""reads"": [{""value"": 0, ""ms"": 113.3, ""raw"": ""+\n+\nimjn\n.\n""}, {""value"": 0, ""ms"": 111.7, ""raw"": ""+\n+\nimjn\n""}, {""value"": 0, ""ms"": 111.4, ""raw"": ""+\n+\nimjn\n""}], ""answered"": 3, ""identical"": true}",2026-09-23T15:32:44Z
DSP PCBA (H1S1 MCU wiring),H1S1 MCU (STM32U575) link,ML2,NO DATA,no H1S1 version cell; host side H1S1.shex 5dc7acdea662f9153b09b816f9ae76b2,non-zero version equal to the H1S1.shex manifest,"PREREQUISITE: H1S1 firmware-version cell (spec prereq 1). H1S1's whole local cell table is Sys001Enc001/Sys001Skin001/Sys001Test001/Sys001Test002 (~/build-h1s1/Core/Inc/matrix.cs:11-18); no *Ver*/*Build* cell exists. The only identity it publishes is the S_TEST string ""// H1S1 DSP"" (matrix.cs:46). Host side reads: 5dc7acdea662f9153b09b816f9ae76b2 /home/app/firmware/H1S1.shex %s",2026-09-23T15:32:44Z
Assemblies,S MCU H1S1 (STM32U575),ML2,NO DATA,no H1S1 version cell; host side H1S1.shex 5dc7acdea662f9153b09b816f9ae76b2,non-zero version equal to the H1S1.shex manifest,"PREREQUISITE: H1S1 firmware-version cell (spec prereq 1). H1S1's whole local cell table is Sys001Enc001/Sys001Skin001/Sys001Test001/Sys001Test002 (~/build-h1s1/Core/Inc/matrix.cs:11-18); no *Ver*/*Build* cell exists. The only identity it publishes is the S_TEST string ""// H1S1 DSP"" (matrix.cs:46). Host side reads: 5dc7acdea662f9153b09b816f9ae76b2 /home/app/firmware/H1S1.shex %s",2026-09-23T15:32:44Z
DSP PCBA (H1S1 MCU wiring),H1S1 MCU (STM32U575) link,ML1,PASS,"Sys001Test001 (5414) x3 = ['0x00', '0x00', '0x00'], [111.9, 111.7, 110.8] ms",3 identical answers within the bus timeout,"{""mode"": ""cell"", ""cell"": 5414, ""reps"": 3, ""reads"": [{""value"": 0, ""ms"": 111.9, ""raw"": ""+\n.\n+\nimjn\n""}, {""value"": 0, ""ms"": 111.7, ""raw"": ""+\n+\nimjn\n:\n""}, {""value"": 0, ""ms"": 110.8, ""raw"": ""+\n+\nimjn\n""}], ""answered"": 3, ""identical"": true}",2026-09-23T19:16:18Z
Assemblies,S MCU H1S1 (STM32U575),ML1,PASS,"Sys001Test001 (5414) x3 = ['0x00', '0x00', '0x00'], [111.9, 111.7, 110.8] ms",3 identical answers within the bus timeout,"{""mode"": ""cell"", ""cell"": 5414, ""reps"": 3, ""reads"": [{""value"": 0, ""ms"": 111.9, ""raw"": ""+\n.\n+\nimjn\n""}, {""value"": 0, ""ms"": 111.7, ""raw"": ""+\n+\nimjn\n:\n""}, {""value"": 0, ""ms"": 110.8, ""raw"": ""+\n+\nimjn\n""}], ""answered"": 3, ""identical"": true}",2026-09-23T19:16:18Z
DSP PCBA (H1S1 MCU wiring),H1S1 MCU (STM32U575) link,ML2,NO DATA,no H1S1 version cell; host side H1S1.shex 5dc7acdea662f9153b09b816f9ae76b2,non-zero version equal to the H1S1.shex manifest,"PREREQUISITE: H1S1 firmware-version cell (spec prereq 1). H1S1's whole local cell table is Sys001Enc001/Sys001Skin001/Sys001Test001/Sys001Test002 (~/build-h1s1/Core/Inc/matrix.cs:11-18); no *Ver*/*Build* cell exists. The only identity it publishes is the S_TEST string ""// H1S1 DSP"" (matrix.cs:46). Host side reads: 5dc7acdea662f9153b09b816f9ae76b2 /home/app/firmware/H1S1.shex %s",2026-09-23T19:16:18Z
Assemblies,S MCU H1S1 (STM32U575),ML2,NO DATA,no H1S1 version cell; host side H1S1.shex 5dc7acdea662f9153b09b816f9ae76b2,non-zero version equal to the H1S1.shex manifest,"PREREQUISITE: H1S1 firmware-version cell (spec prereq 1). H1S1's whole local cell table is Sys001Enc001/Sys001Skin001/Sys001Test001/Sys001Test002 (~/build-h1s1/Core/Inc/matrix.cs:11-18); no *Ver*/*Build* cell exists. The only identity it publishes is the S_TEST string ""// H1S1 DSP"" (matrix.cs:46). Host side reads: 5dc7acdea662f9153b09b816f9ae76b2 /home/app/firmware/H1S1.shex %s",2026-09-23T19:16:18Z
